SECTOR,SIZE,COVERAGE,COUNTRY,POSITION,EXPERIENCE,SEX,LABOR-RIGHTS,SOCIAL-SECURITY,SOCIAL-RESPONSABILITY,INCLUSION,RESILIENCE-SUPPLY-CHAIN
Servicios,Micro,Nacional,Chile,Otro,'0-5',Male,-0.169,-0.215,0.608,0.27,0.096
Servicios,Grande,Nacional,Chile,Gerente,'>20',Male,0.574,0.813,-0.172,-0.881,-0.188
Servicios,Grande,Nacional,Chile,Ejecutivo,'06-10',Female,0.54,0.239,-0.517,-1.49,0.243
Servicios,Grande,Nacional,Chile,Gerente,'11-20',Male,-0.68,-0.512,-0.302,0.364,-0.175
Servicios,Grande,LATAM,Chile,Ejecutivo,'06-10',Male,-0.435,0.813,-0.367,-0.678,-1.386
Industria,Grande,Global,Chile,Gerente,'11-20',Male,-0.367,-0.79,-1.173,-0.845,-0.798
Servicios,Grande,Global,Chile,Gerente,'11-20',Male,0.724,0.813,0.117,-0.666,0.519
Industria,Grande,Global,Chile,Gerente,'>20',Male,0.724,0.359,1.073,0.27,-0.187
Industria,Grande,Global,Chile,Ejecutivo,'06-10',Female,-0.521,-0.483,0.543,0.493,-0.175
Comercio,Grande,Nacional,Chile,Directivo,'>20',Male,-0.029,0.536,-0.43,0.529,0.277
Industria,Grande,Local/regional,Chile,Directivo,'>20',Male,-0.097,0.536,0.267,-0.439,-1.844
Comercio,Grande,Nacional,Chile,Directivo,'>20',Male,-0.029,0.536,-0.43,0.529,0.277
Comercio,Grande,Nacional,Chile,Gerente,'06-10',Male,0.875,-0.224,0.269,0.343,0.068
Comercio,Grande,Global,Chile,Gerente,'11-20',Male,0.088,-0.734,-0.115,0.061,-0.801
Servicios,Grande,Global,Chile,Ejecutivo,'11-20',Male,-0.367,0.017,-0.089,-1.022,-1.372
Industria,Grande,LATAM,Chile,Gerente,'11-20',Male,0.085,-0.447,-1.768,-0.362,0.706
Industria,Grande,Global,Chile,Ejecutivo,'11-20',Male,0.574,0.813,0.267,0.099,0.084
Industria,Mediana,LATAM,Chile,Gerente,'06-10',Male,-0.7,-0.039,-0.091,-0.819,-2.277
Comercio,Grande,LATAM,Chile,Gerente,'0-5',Male,0.54,0.813,-0.049,-0.875,0.707
Comercio,Mediana,Nacional,Chile,Gerente,'>20',Male,-0.825,-0.447,-1.83,-0.612,-1.105
Industria,Mediana,Global,M�xico,Gerente,'06-10',Female,0.238,-1.521,-0.643,-0.984,-0.505
Servicios,Grande,Local/regional,Chile,Ejecutivo,'06-10',Male,0.389,0.813,0.394,0.847,0.255
Comercio,Grande,Global,Chile,Ejecutivo,'06-10',Male,1.06,0.813,0.398,0.48,0.874
Servicios,Micro,Nacional,Chile,Directivo,'11-20',Male,0.15,0.813,0.025,-0.466,0.407
Industria,Grande,Global,Chile,Ejecutivo,'11-20',Female,-0.959,0.007,0.44,-0.069,-0.346
Servicios,Grande,Global,Chile,Ejecutivo,'06-10',Male,1.21,0.813,1.732,1.326,1.014
Industria,Grande,Global,Chile,Ejecutivo,'>20',Male,1.21,0.591,1.228,1.185,1.155
Industria,Grande,Global,Chile,Otro,'11-20',Male,0.238,0.313,0.608,0.025,-0.493
Servicios,Grande,Global,Chile,Gerente,'11-20',Female,0.571,-0.624,-0.127,-1.022,0.124
Comercio,Grande,Nacional,M�xico,Gerente,'>20',Female,0.758,0.813,0.97,0.762,1.155
Industria,Mediana,Nacional,M�xico,Ejecutivo,'0-5',Male,-1.238,0.813,0.709,1.008,0.124
Industria,Mediana,Global,M�xico,Gerente,'11-20',Female,0.909,0.349,0.481,1.044,0.575
Servicios,Small,Nacional,M�xico,Gerente,'0-5',Female,-0.302,-0.131,-1.387,-1.764,-0.822
Servicios,Grande,Nacional,M�xico,Gerente,'6-10',Female,1.06,-1.449,0.47,1.044,0.448
Comercio,Grande,Global,M�xico,Ejecutivo,'6-10',Male,-0.677,-1.854,-0.723,-0.309,-0.421
Industria,Grande,Nacional,M�xico,Operativo,'0-5',Male,-0.169,-0.901,0.377,-1.225,-0.786
Comercio,Small,Global,M�xico,Gerente,'0-5',Female,0.147,-1.143,-1.639,-1.027,-3.033
Industria,Grande,Global,M�xico,Directivo,'6-10',Male,1.21,0.813,1.732,1.326,1.155
Servicios,Small,Global,M�xico,Otro,'0-5',Male,1.06,0.359,0.734,0.025,0.706
Industria,Grande,Global,M�xico,Ejecutivo,'11-20',Male,1.21,0.813,1.478,1.326,1.155
Servicios,Grande,Nacional,M�xico,Otro,'0-5',Female,-0.613,-0.447,0.758,0.364,-0.21
Servicios,Small,Local/regional,M�xico,Ejecutivo,'0-5',Female,1.21,0.813,1.414,1.185,-0.175
Servicios,Grande,LATAM,M�xico,Ejecutivo,'6-10',Male,-0.978,-2.43,-1.021,-0.84,-1.145
Servicios,Mediana,Local/regional,M�xico,Otro,'0-5',Male,-0.552,-0.957,-0.413,-0.445,-1.816
Industria,Mediana,Nacional,M�xico,Gerente,'>20',Female,-1.796,-2.263,-1.363,-1.958,-0.906
Servicios,Small,Nacional,M�xico,Gerente,'>20',Male,-1.78,-1.476,-1.402,-0.901,-0.645
Industria,Grande,Global,M�xico,Ejecutivo,'0-5',Male,0.499,-0.261,0.783,-0.36,1.155
Industria,Grande,Global,M�xico,Ejecutivo,'>20',Male,-1.157,-1.244,-0.898,-1.826,-0.965
Industria,Grande,Nacional,M�xico,Gerente,'11-20',Male,0.454,0.591,-0.3,1.055,0.566
Industria,Small,Nacional,M�xico,Otro,'0-5',Female,1.21,0.813,1.732,1.326,1.024
Industria,Mediana,Nacional,M�xico,Otro,'6-10',Male,0.571,0.581,0.097,0.931,0.554
Servicios,Small,Nacional,M�xico,Gerente,'0-5',Male,-0.591,-0.679,1.178,1.044,0.424
Industria,Grande,Global,M�xico,Gerente,'>20',Male,1.21,0.813,0.844,0.48,1.155
Servicios,Grande,Global,M�xico,Gerente,'>20',Female,0.574,0.127,0.974,0.717,-0.928
Industria,Grande,Global,M�xico,Gerente,'11-20',Male,0.875,0.813,1.605,1.185,1.155
Servicios,Micro,Local/regional,M�xico,Directivo,'6-10',Female,0.875,0.813,0.322,1.185,-3.797
Industria,Grande,Global,M�xico,Otro,'0-5',Male,0.571,0.127,-0.364,0.988,0.685
Industria,Grande,Nacional,M�xico,Ejecutivo,'11-20',Female,-2.251,-3.765,-2.211,-2.847,-2.335
Industria,Grande,Global,M�xico,Gerente,'6-10',Female,0.758,0.813,0.923,0.903,1.155
Industria,Grande,Nacional,M�xico,Ejecutivo,'11-20',Female,-0.658,-0.669,-0.619,-1.454,-0.514
Industria,Mediana,LATAM,M�xico,Gerente,'11-20',Female,0.238,0.813,0.292,0.399,-0.645
Servicios,Micro,Nacional,M�xico,Gerente,'0-5',Female,0.574,-0.206,0.082,0.706,0.996
Industria,Grande,Local/regional,M�xico,Gerente,'>20',Female,-2.783,0.813,-0.579,-0.507,-0.904
Comercio,Small,Nacional,M�xico,Gerente,'>20',Female,-1.332,-3.401,-1.83,-2.847,0.537
Servicios,Mediana,Nacional,M�xico,Gerente,'6-10',Male,-2.358,-0.966,-0.519,0.061,-0.016
Industria,Grande,LATAM,M�xico,Ejecutivo,'0-5',Male,0.238,-0.215,-0.304,-0.112,0.263
Industria,Small,Nacional,M�xico,Gerente,'>20',Female,-2.834,0.349,-1.769,-2.14,-1.403
Servicios,Grande,Global,M�xico,Gerente,'6-10',Male,1.21,0.813,1.606,1.044,1.014
Industria,Grande,Global,M�xico,Otro,'0-5',Male,0.306,0.813,1.097,1.326,1.024
Industria,Mediana,LATAM,M�xico,Ejecutivo,'0-5',Female,-2.285,-2.494,-1.252,-0.719,-1.57
Industria,Grande,LATAM,M�xico,Directivo,'>20',Male,-0.862,-0.447,0.202,-0.563,0.255
Industria,Small,Nacional,M�xico,Gerente,'0-5',Female,-0.708,-1.373,0.505,0.931,-1.97
Industria,Grande,Nacional,M�xico,Gerente,'6-10',Female,0.119,0.813,0.415,0.452,1.155
Servicios,Small,Nacional,M�xico,Gerente,'>20',Female,0.306,-0.78,-2.211,-0.248,-0.645
Industria,Grande,Nacional,M�xico,Gerente,'6-10',Male,0.269,0.349,0.29,0.529,-0.505
Industria,Mediana,Local/regional,M�xico,Ejecutivo,'0-5',Female,1.21,0.813,-1.449,1.044,1.155
Industria,Small,Global,M�xico,Gerente,'11-20',Male,-1.612,-0.845,-2.211,-0.342,-0.197
Industria,Mediana,Local/regional,M�xico,Gerente,'6-10',Male,-1.16,0.017,-1.639,0.061,-1.386
Servicios,Grande,LATAM,M�xico,Otro,'6-10',Female,-0.032,0.081,-0.405,0.734,0.413
Servicios,Grande,Nacional,M�xico,Gerente,'6-10',Female,0.088,0.581,-0.303,-0.855,-0.216
Comercio,Grande,Nacional,M�xico,Otro,'0-5',Female,1.21,0.813,1.732,1.326,1.155
Industria,Grande,Local/regional,M�xico,Gerente,'>20',Male,-2.664,-1.476,-1.385,-1.172,-1.89
Servicios,Micro,Nacional,M�xico,Gerente,'0-5',Female,0.306,0.813,-1.834,0.48,0.554
Industria,Grande,Global,M�xico,Ejecutivo,'11-20',Female,1.21,0.813,1.732,1.326,0.894
Servicios,Small,Nacional,M�xico,Operativo,'0-5',Female,-0.711,0.349,0.38,-1.588,1.155
Servicios,Small,Nacional,M�xico,Operativo,'0-5',Female,-0.711,0.349,0.38,-1.588,1.155
Servicios,Grande,LATAM,M�xico,Operativo,'6-10',Male,1.21,0.813,1.227,1.326,1.155
Industria,Grande,Global,M�xico,Gerente,'>20',Male,-3.391,-2.846,-1.303,-2.025,-0.849
Industria,Grande,Global,M�xico,Gerente,'>20',Male,-2.905,-3.06,-1.428,-1.651,-1.226
Servicios,Small,Local/regional,M�xico,Operativo,'0-5',Female,-0.473,-0.715,0.735,1.008,0.395
Servicios,Micro,Local/regional,M�xico,Otro,'0-5',Female,-0.495,-1.244,-0.24,0.493,0.255
Industria,Grande,Global,M�xico,Gerente,'0-5',Male,0.42,0.591,-0.177,0.903,-0.016
Industria,Grande,LATAM,M�xico,Gerente,'6-10',Female,1.06,0.813,1.351,0.847,1.155
Industria,Mediana,Local/regional,M�xico,Ejecutivo,'0-5',Female,0.317,0.536,1.202,1.185,0.124
Industria,Grande,Nacional,M�xico,Operativo,'0-5',Male,0.724,0.581,0.695,0.399,1.155
Servicios,Grande,Nacional,M�xico,Otro,'0-5',Female,-0.37,-2.726,-0.111,-1.031,1.155
Industria,Grande,Global,M�xico,Ejecutivo,'11-20',Female,1.21,0.813,1.732,1.326,0.894
Comercio,Micro,Local/regional,M�xico,Otro,'0-5',Female,0.264,0.813,1.01,0.258,0.124
Industria,Grande,Nacional,M�xico,Gerente,'0-5',Male,0.306,0.813,1.099,0.578,1.155
Industria,Grande,LATAM,M�xico,Ejecutivo,'11-20',Female,0.42,0.359,0.417,0.706,0.255
Industria,Grande,Nacional,M�xico,Ejecutivo,'0-5',Male,0.758,0.813,0.646,0.726,0.741
Servicios,Micro,Global,M�xico,Otro,'0-5',Male,1.21,0.813,1.732,1.326,1.155
Servicios,Small,Nacional,M�xico,Gerente,'6-10',Female,1.21,0.813,1.605,1.185,1.155
Industria,Mediana,Nacional,M�xico,Gerente,'>20',Male,1.21,0.813,1.732,1.326,1.155
Industria,Grande,LATAM,M�xico,Ejecutivo,'6-10',Female,0.085,-0.271,0.14,-0.631,0.255
Industria,Mediana,Global,M�xico,Gerente,'11-20',Male,-0.001,0.591,-2.211,0.796,0.721
Industria,Grande,Global,M�xico,Gerente,'6-10',Female,0.42,-0.215,-0.089,-0.024,0.996
Servicios,Grande,Nacional,M�xico,Directivo,'0-5',Male,-0.251,0.813,-0.583,0.247,-0.757
Industria,Grande,Nacional,M�xico,Gerente,'>20',Male,0.75,0.581,0.458,1.129,0.715
